,Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,Season
0,1T,Elton Brand,20,CHI,58,58,121,0.479,81,37.0,20.1,10.0,1.9,0.8,1.6,0.482,0.0,0.685,7.5,0.121,2000
1,1T,Steve Francis,22,HOU,58,58,121,0.479,77,36.1,18.0,5.3,6.6,1.5,0.4,0.445,0.345,0.786,6.4,0.111,2000
2,3,Lamar Odom,20,LAC,3,3,121,0.025,76,36.4,16.6,7.8,4.2,1.2,1.3,0.438,0.36,0.719,3.2,0.055,2000
3,4,Andre Miller,23,CLE,2,2,121,0.017,82,25.5,11.1,3.4,5.8,1.0,0.2,0.449,0.204,0.774,5.3,0.122,2000
4,1,Mike Miller,20,ORL,75,75,124,0.605,82,29.1,11.9,4.0,1.7,0.6,0.2,0.436,0.407,0.711,5.3,0.106,2001
5,2,Kenyon Martin,23,NJN,36,36,124,0.29,68,33.4,12.0,7.4,1.9,1.1,1.7,0.445,0.091,0.63,2.1,0.044,2001
6,3,Marc Jackson,26,GSW,7,7,124,0.056,48,29.4,13.2,7.5,1.2,0.7,0.6,0.467,0.217,0.802,2.6,0.089,2001
7,4T,Darius Miles,19,LAC,3,3,124,0.024,81,26.3,9.4,5.9,1.2,0.6,1.5,0.505,0.053,0.521,3.0,0.068,2001
8,4T,Morris Peterson,23,TOR,3,3,124,0.024,80,22.6,9.3,3.2,1.3,0.8,0.3,0.431,0.382,0.717,3.6,0.096,2001
9,1,Pau Gasol,21,MEM,117,117,126,0.929,82,36.7,17.6,8.9,2.7,0.5,2.1,0.518,0.2,0.709,7.6,0.121,2002
10,2,Richard Jefferson,21,NJN,3,3,126,0.024,79,24.3,9.4,3.7,1.8,0.8,0.6,0.457,0.232,0.713,4.7,0.117,2002
11,3T,Andrei Kirilenko,20,UTA,2,2,126,0.016,82,26.2,10.7,4.9,1.1,1.4,1.9,0.45,0.25,0.768,7.3,0.164,2002
12,3T,Jason Richardson,21,GSW,2,2,126,0.016,80,32.9,14.4,4.3,3.0,1.3,0.4,0.426,0.333,0.671,2.9,0.052,2002
13,3T,Jamaal Tinsley,23,IND,2,2,126,0.016,80,30.5,9.4,3.7,8.1,1.7,0.5,0.38,0.24,0.704,1.7,0.033,2002
14,1,Amar'e Stoudemire,20,PHO,59,458,585,0.783,82,31.3,13.5,8.8,1.0,0.8,1.1,0.472,0.2,0.661,6.2,0.116,2003
15,2,Yao Ming,22,HOU,45,405,585,0.692,82,29.0,13.5,8.2,1.7,0.4,1.8,0.498,0.5,0.811,8.7,0.176,2003
16,3,Caron Butler,22,MIA,13,179,585,0.306,78,36.6,15.4,5.1,2.7,1.8,0.4,0.416,0.318,0.824,5.1,0.086,2003
17,4,Manu Ginóbili,25,SAS,0,5,585,0.009,69,20.7,7.6,2.3,2.0,1.4,0.2,0.438,0.345,0.737,4.2,0.141,2003
18,5,Drew Gooden,21,TOT,0,3,585,0.005,70,26.8,12.5,6.5,1.2,0.8,0.5,0.457,0.292,0.712,1.7,0.043,2003
19,6,Nenê,20,DEN,0,2,585,0.003,80,28.2,10.5,6.1,1.9,1.6,0.8,0.519,0.0,0.578,5.0,0.107,2003
20,7,Carlos Boozer,21,CLE,0,1,585,0.002,81,25.3,10.0,7.5,1.3,0.7,0.6,0.536,0.0,0.771,5.9,0.139,2003
21,1,LeBron James,19,CLE,78,508,590,0.861,79,39.5,20.9,5.5,5.9,1.6,0.7,0.417,0.29,0.754,5.1,0.078,2004
22,2,Carmelo Anthony,19,DEN,40,430,590,0.729,82,36.5,21.0,6.1,2.8,1.2,0.5,0.426,0.322,0.777,6.1,0.098,2004
23,3,Dwyane Wade,22,MIA,0,117,590,0.198,61,34.9,16.2,4.0,4.5,1.4,0.6,0.465,0.302,0.747,4.6,0.103,2004
24,4,Kirk Hinrich,23,CHI,0,4,590,0.007,76,35.6,12.0,3.4,6.8,1.3,0.3,0.386,0.39,0.804,4.1,0.072,2004
25,5,Chris Bosh,19,TOR,0,2,590,0.003,75,33.5,11.5,7.4,1.0,0.8,1.4,0.459,0.357,0.701,6.2,0.119,2004
26,6,Marquis Daniels,23,DAL,0,1,590,0.002,56,18.6,8.5,2.6,2.1,0.9,0.2,0.494,0.306,0.769,3.2,0.146,2004
27,1,Emeka Okafor,22,CHA,77,514,630,0.816,73,35.6,15.1,10.9,0.9,0.8,1.7,0.447,0.0,0.609,4.0,0.074,2005
28,2,Ben Gordon,21,CHI,43,443,630,0.703,82,24.4,15.1,2.6,2.0,0.6,0.1,0.411,0.405,0.863,3.5,0.084,2005
29,3,Dwight Howard,19,ORL,6,161,630,0.256,82,32.6,12.0,10.0,0.9,0.9,1.7,0.52,0.0,0.671,7.3,0.131,2005
30,4,Andre Iguodala,21,PHI,0,14,630,0.022,82,32.8,9.0,5.7,3.0,1.7,0.6,0.493,0.331,0.743,6.6,0.118,2005
